order_item_id,order_id,product_id,quantity,unit_price,discount_percent,total_sales,profit
I000140,ORD-10132,P00001,5.0,239.45,5.0,1137.39,464.29
I000141,ORD-11007,P00040,4.0,210.65,0.0,842.6,325.93
I000142,ORD-10395,P00017,9.0,32.74,10.0,265.19,98.71
I000143,ORD-11318,P00014,3.0,135.29,10.0,365.28,153.26
I000144,ORD-10252,P00038,6.0,30.52,0.0,183.12,70.42
I000145,ORD-10450,P00032,4.0,113.34,15.0,385.36,127.82
I000146,ORD-11088,P00007,5.0,11.27,5.0,53.53,16.17
I000147,ORD-11452,P00011,1.0,5.67,15.0,4.82,-3.68
I000148,ORD-11478,P00023,1.0,116.12,10.0,104.51,30.46
I000149,ORD-11231,P00023,1.0,85.63,5.0,81.35,25.39
I000150,ORD-11479,P00040,1.0,199.74,20.0,159.79,30.28
I000151,ORD-10821,P00019,2.0,34.22,0.0,68.44,21.58
I000152,ORD-11766,P00028,3.0,37.69,30.0,79.15,15.28
I000153,ORD-11000,P00028,1.0,42.86,5.0,40.72,7.15
I000154,ORD-11002,P00030,4.0,24.85,15.0,84.49,14.44
I000155,ORD-11631,P00005,6.0,241.26,0.0,1447.56,564.46
I000156,ORD-11784,P00022,1.0,67.62,0.0,67.62,15.42
I000157,ORD-10578,P00016,1.0,268.98,0.0,268.98,99.03
I000158,ORD-10306,P00026,3.0,9.65,5.0,27.5,3.85
I000159,ORD-10532,P00032,2.0,139.15,5.0,264.38,98.83
I000160,ORD-10903,P00021,2.0,15.49,10.0,27.88,7.87
I000161,ORD-11253,P00030,6.0,25.63,15.0,130.71,28.41
I000162,ORD-11610,P00024,1.0,13.0,5.0,12.35,0.69
I000163,ORD-10071,P00016,2.0,252.68,0.0,505.36,194.02
I000164,ORD-10207,P00036,8.0,20.81,0.0,166.48,54.62
I000165,ORD-11995,P00003,2.0,12.65,15.0,21.5,-2.21
I000166,ORD-10176,P00025,3.0,83.46,0.0,250.38,109.12
I000167,ORD-11066,P00008,3.0,57.89,5.0,164.99,59.99
I000168,ORD-11988,P00002,1.0,133.59,0.0,133.59,47.64
I000169,ORD-10274,P00003,1.0,9.89,5.0,9.4,-5.95
I000170,ORD-10840,P00013,6.0,17.86,5.0,101.8,41.71
I000171,ORD-11333,P00035,4.0,58.82,10.0,211.75,57.46
I000172,ORD-11079,P00008,3.0,63.4,20.0,152.16,35.29
I000173,ORD-11868,P00002,1.0,133.59,10.0,120.23,40.28
I000174,ORD-11664,P00037,2.0,244.78,10.0,440.6,137.04
I000175,ORD-11912,P00018,4.0,13.89,0.0,55.56,12.3
I000176,ORD-11921,P00020,2.0,4.54,0.0,9.08,-8.78
I000177,ORD-10551,P00005,4.0,257.6,25.0,772.8,134.77
I000178,ORD-10091,P00012,1.0,55.0,5.0,52.25,14.94
I000179,ORD-10434,P00011,4.0,8.66,5.0,32.91,5.66
I000180,ORD-11552,P00023,2.0,94.43,10.0,169.97,59.24
I000181,ORD-10330,P00001,6.0,209.9,5.0,1196.43,486.56
I000182,ORD-10769,P00001,9.0,67.71,0.0,609.39,252.8
I000183,ORD-10427,P00032,2.0,171.32,15.0,291.24,93.33
I000184,ORD-11810,P00001,3.0,82.93,20.0,199.03,49.84
I000185,ORD-11212,P00004,4.0,57.09,15.0,194.11,57.13
I000186,ORD-10667,P00025,1.0,54.74,0.0,54.74,16.48
I000187,ORD-11292,P00040,10.0,136.46,15.0,1159.91,323.4
I000188,ORD-11731,P00015,2.0,308.79,0.0,617.58,239.82
I000189,ORD-11224,P00006,3.0,180.81,20.0,433.94,90.28
I000190,ORD-10468,P00035,1.0,54.96,10.0,49.46,5.74
I000191,ORD-11700,P00040,1.0,137.26,10.0,123.53,32.7
I000192,ORD-10377,P00017,6.0,30.66,10.0,165.56,51.17
I000193,ORD-11553,P00034,1.0,46.16,5.0,43.85,9.69
I000194,ORD-11888,P00025,4.0,45.58,5.0,173.2,69.84
I000195,ORD-10102,P00005,2.0,177.6,0.0,355.2,128.75
I000196,ORD-11008,P00006,3.0,192.55,0.0,577.65,220.8
I000197,ORD-11204,P00030,1.0,17.84,5.0,16.95,-3.9
I000198,ORD-10826,P00026,4.0,8.59,5.0,32.64,5.67
I000199,ORD-11363,P00030,1.0,29.87,0.0,29.87,7.01
I000200,ORD-10202,P00013,3.0,12.78,5.0,36.42,4.45
I000201,ORD-10462,P00008,3.0,71.84,0.0,215.52,88.42
I000202,ORD-11586,P00018,2.0,6.24,20.0,9.98,-8.87
I000203,ORD-10703,P00020,2.0,12.15,10.0,21.87,1.46
I000204,ORD-10828,P00025,1.0,88.39,15.0,75.13,19.73
I000205,ORD-10652,P00001,5.0,181.39,0.0,906.95,394.52
I000206,ORD-11385,P00024,1.0,16.13,15.0,13.71,0.33
I000207,ORD-11895,P00008,2.0,44.17,5.0,83.92,29.03
I000208,ORD-10143,P00013,2.0,11.52,15.0,19.58,-2.89
I000209,ORD-10853,P00013,3.0,11.58,30.0,24.32,-4.84
I000210,ORD-10452,P00028,3.0,25.71,15.0,65.56,18.12
I000211,ORD-11484,P00029,3.0,47.53,15.0,121.2,35.6
I000212,ORD-10623,P00012,3.0,94.61,20.0,227.06,68.37
I000213,ORD-11458,P00040,2.0,248.9,20.0,398.24,91.33
I000214,ORD-10609,P00019,4.0,62.57,10.0,225.25,72.61
I000215,ORD-11288,P00009,15.0,100.94,5.0,1438.39,500.67
I000216,ORD-10607,P00029,1.0,55.77,5.0,52.98,11.06
I000217,ORD-10105,P00022,2.0,77.49,15.0,131.73,26.11
I000218,ORD-11298,P00006,4.0,65.92,5.0,250.5,78.83
I000219,ORD-11682,P00037,1.0,121.55,25.0,91.16,11.63
I000220,ORD-10411,P00025,2.0,79.65,10.0,143.37,53.58
I000221,ORD-11776,P00005,3.0,180.1,10.0,486.27,153.78
I000222,ORD-11788,P00006,3.0,145.84,15.0,371.89,94.84
I000223,ORD-11227,P00011,9.0,3.16,10.0,25.6,-5.43
I000224,ORD-10941,P00024,3.0,8.2,0.0,24.6,6.08
I000225,ORD-11045,P00040,2.0,214.52,0.0,429.04,156.23
I000226,ORD-11149,P00027,8.0,43.71,15.0,297.23,100.47
I000227,ORD-11329,P00005,2.0,119.77,25.0,179.66,25.57
I000228,ORD-11394,P00037,1.0,217.82,25.0,163.37,20.22
I000229,ORD-11435,P00037,2.0,295.24,0.0,590.48,227.12
I000230,ORD-10336,P00040,1.0,195.08,5.0,185.33,58.87
I000231,ORD-11513,P00010,5.0,26.84,0.0,134.2,49.9
I000232,ORD-11762,P00030,5.0,15.48,10.0,69.66,7.35
I000233,ORD-10562,P00004,5.0,54.1,5.0,256.97,96.77
I000234,ORD-10710,P00019,8.0,37.26,20.0,238.46,59.92
I000235,ORD-11740,P00013,4.0,10.54,15.0,35.84,6.0
I000236,ORD-10422,P00013,3.0,15.84,5.0,45.14,15.8
I000237,ORD-11834,P00012,2.0,33.16,0.0,66.32,21.78
I000238,ORD-10942,P00003,3.0,14.0,15.0,35.7,0.33
I000239,ORD-10129,P00022,7.0,54.12,15.0,322.01,77.25
I000240,ORD-10722,P00009,1.0,118.34,5.0,112.42,33.76
I000241,ORD-10845,P00018,1.0,20.28,0.0,20.28,2.24
I000242,ORD-10937,P00037,7.0,263.11,10.0,1657.59,535.99
I000243,ORD-11401,P00037,1.0,271.69,20.0,217.35,43.68
I000244,ORD-10069,P00033,4.0,43.62,15.0,148.31,27.81
I000245,ORD-10025,P00034,6.0,36.82,10.0,198.83,74.59
I000246,ORD-11268,P00020,1.0,10.08,15.0,8.57,-4.12
I000247,ORD-11962,P00039,3.0,6.18,15.0,15.76,-1.76
I000248,ORD-10979,P00008,8.0,64.14,15.0,436.15,131.29
I000249,ORD-10816,P00036,1.0,29.03,5.0,27.58,0.8
I000250,ORD-11468,P00026,1.0,6.69,0.0,6.69,-6.88
I000251,ORD-11539,P00008,4.0,59.29,20.0,189.73,45.7
I000252,ORD-11609,P00010,1.0,31.48,5.0,29.91,1.93
I000253,ORD-11707,P00024,3.0,7.93,0.0,23.79,-0.93
I000254,ORD-10177,P00030,6.0,24.62,5.0,140.33,34.32
I000255,ORD-10817,P00032,4.0,72.94,20.0,233.41,56.76
I000256,ORD-11080,P00036,2.0,32.45,10.0,58.41,14.09
I000257,ORD-10376,P00039,6.0,5.73,15.0,29.22,-5.16
I000258,ORD-10726,P00010,4.0,38.87,5.0,147.71,55.93
I000259,ORD-11103,P00003,2.0,6.85,0.0,13.7,0.12
I000260,ORD-10727,P00035,2.0,16.26,5.0,30.89,5.12
I000261,ORD-10772,P00036,1.0,23.01,5.0,21.86,-3.94
I000262,ORD-11060,P00007,4.0,22.5,15.0,76.5,15.43
I000263,ORD-11322,P00016,3.0,229.47,15.0,585.15,162.27
I000264,ORD-10146,P00015,5.0,336.47,0.0,1682.35,657.16
I000265,ORD-11048,P00006,2.0,122.54,0.0,245.08,86.25
I000266,ORD-11155,P00023,5.0,88.03,15.0,374.13,115.42
I000267,ORD-11376,P00035,4.0,24.66,0.0,98.64,23.43
I000268,ORD-11535,P00004,3.0,60.58,10.0,163.57,53.86
I000269,ORD-10114,P00002,3.0,158.55,15.0,404.3,131.02
I000270,ORD-11031,P00022,6.0,43.48,15.0,221.75,51.28
I000271,ORD-11133,P00008,15.0,33.12,0.0,496.8,185.38
I000272,ORD-10349,P00019,1.0,30.15,15.0,25.63,2.45
I000273,ORD-11733,P00013,3.0,18.83,10.0,50.84,14.46
I000274,ORD-10358,P00034,5.0,17.24,0.0,86.2,26.9
I000275,ORD-11932,P00011,1.0,6.68,15.0,5.68,-5.55
I000276,ORD-10042,P00022,9.0,33.65,5.0,287.71,89.26
I000277,ORD-10569,P00019,3.0,69.43,5.0,197.88,72.6
I000278,ORD-11665,P00015,10.0,398.27,5.0,3783.56,1373.63
I000279,ORD-10876,P00005,4.0,114.01,0.0,456.04,168.64
I000280,ORD-11258,P00038,1.0,79.09,20.0,63.27,13.22
I000281,ORD-11375,P00021,2.0,12.13,15.0,20.62,-2.56
I000282,ORD-10546,P00033,4.0,42.27,15.0,143.72,25.67
I000283,ORD-10860,P00030,3.0,48.52,15.0,123.73,30.61
I000284,ORD-11307,P00031,4.0,27.6,10.0,99.36,30.83
I000285,ORD-10182,P00013,11.0,23.39,10.0,231.56,101.55
I000286,ORD-10674,P00031,10.0,14.57,5.0,138.41,30.02
I000287,ORD-11336,P00037,1.0,250.47,5.0,237.95,76.89
I000288,ORD-10712,P00036,7.0,57.98,15.0,344.98,104.96
I000289,ORD-10788,P00021,1.0,19.94,10.0,17.95,-2.68
I000290,ORD-10212,P00034,3.0,45.1,10.0,121.77,39.84
I000291,ORD-11068,P00021,2.0,10.66,10.0,19.19,-1.41
I000292,ORD-11653,P00027,1.0,26.53,0.0,26.53,-0.16
I000293,ORD-11771,P00022,5.0,94.63,0.0,473.15,170.35
I000294,ORD-10480,P00038,2.0,30.06,10.0,54.11,12.28
I000295,ORD-10700,P00034,3.0,40.18,0.0,120.54,47.96
I000296,ORD-10661,P00004,9.0,74.43,10.0,602.88,222.86
I000297,ORD-10747,P00028,1.0,24.48,20.0,19.58,-2.37
I000298,ORD-10432,P00008,3.0,62.62,10.0,169.07,53.57
I000299,ORD-10483,P00023,3.0,97.31,10.0,262.74,87.15
I000300,ORD-10792,P00024,5.0,18.79,10.0,84.55,27.04
I000301,ORD-11387,P00015,1.0,192.58,20.0,154.06,26.45
I000302,ORD-11564,P00028,3.0,48.59,15.0,123.9,41.12
I000303,ORD-10381,P00019,2.0,46.18,5.0,87.74,24.56
I000304,ORD-11603,P00005,7.0,309.68,20.0,1734.21,413.61
I000305,ORD-11019,P00035,1.0,24.14,0.0,24.14,-3.52
I000306,ORD-10977,P00018,4.0,15.95,15.0,54.23,16.9
I000307,ORD-10008,P00026,1.0,6.99,10.0,6.29,-3.55
I000308,ORD-11100,P00024,2.0,19.72,10.0,35.5,11.37
I000309,ORD-11464,P00006,4.0,194.07,0.0,776.28,299.09
I000310,ORD-11562,P00019,2.0,52.02,15.0,88.43,24.07
I000311,ORD-10083,P00024,1.0,19.62,5.0,18.64,-2.67
I000312,ORD-10112,P00027,7.0,43.03,20.0,240.97,74.05
I000313,ORD-11077,P00008,5.0,50.01,0.0,250.05,93.18
I000314,ORD-10003,P00035,3.0,53.14,15.0,135.51,24.98
I000315,ORD-10024,P00011,2.0,3.31,0.0,6.62,-11.28
I000316,ORD-10404,P00018,2.0,11.9,0.0,23.8,3.38
I000317,ORD-11154,P00031,6.0,21.26,5.0,121.18,48.26
I000318,ORD-11859,P00038,1.0,59.16,10.0,53.24,17.06
I000319,ORD-10107,P00003,1.0,10.59,5.0,10.06,-6.11
I000320,ORD-11182,P00004,6.0,62.93,0.0,377.58,156.02
I000321,ORD-11380,P00017,4.0,54.62,0.0,218.48,97.88
I000322,ORD-10015,P00019,2.0,42.71,20.0,68.34,9.14
I000323,ORD-10545,P00009,2.0,113.15,10.0,203.67,56.82
I000324,ORD-10961,P00036,1.0,61.5,15.0,52.27,7.7
I000325,ORD-10511,P00011,5.0,3.47,5.0,16.48,-4.93
I000326,ORD-11806,P00016,5.0,394.43,5.0,1873.54,678.15
I000327,ORD-10283,P00040,4.0,161.93,10.0,582.95,184.13
I000328,ORD-10625,P00016,7.0,233.89,0.0,1637.23,633.6
I000329,ORD-11098,P00038,7.0,30.7,10.0,193.41,75.32
I000330,ORD-11395,P00034,5.0,21.72,0.0,108.6,44.26
I000331,ORD-10090,P00018,3.0,18.99,10.0,51.27,15.76
I000332,ORD-10904,P00001,1.0,190.35,10.0,171.31,55.66
I000333,ORD-10266,P00033,3.0,64.89,25.0,146.0,13.02
I000334,ORD-10424,P00034,2.0,27.32,10.0,49.18,11.12
I000335,ORD-11061,P00002,10.0,133.95,10.0,1205.55,447.36
I000336,ORD-11808,P00019,2.0,56.54,5.0,107.43,37.92
I000337,ORD-10326,P00033,1.0,51.24,20.0,40.99,2.18
I000338,ORD-11349,P00002,13.0,145.33,5.0,1794.83,719.68
I000339,ORD-10681,P00034,5.0,27.72,5.0,131.67,46.81
I000340,ORD-10996,P00028,2.0,53.18,5.0,101.04,34.56
I000341,ORD-11167,P00032,5.0,167.91,0.0,839.55,362.63
I000342,ORD-11391,P00024,1.0,16.43,5.0,15.61,-3.1
I000343,ORD-10949,P00033,2.0,71.01,15.0,120.72,22.31
I000344,ORD-11494,P00025,1.0,41.08,0.0,41.08,8.83
I000345,ORD-10240,P00035,1.0,21.14,20.0,16.91,-7.85
I000346,ORD-10945,P00030,1.0,52.78,0.0,52.78,17.55
I000347,ORD-11589,P00024,1.0,13.41,10.0,12.07,-6.52
I000348,ORD-11824,P00022,4.0,75.9,0.0,303.6,106.48
I000349,ORD-10045,P00011,3.0,8.95,0.0,26.85,-3.63
I000350,ORD-11229,P00029,1.0,20.02,15.0,17.02,-4.97
I000351,ORD-11934,P00021,1.0,10.76,10.0,9.68,-1.44
I000352,ORD-10001,P00013,2.0,9.48,0.0,18.96,3.56
I000353,ORD-11199,P00030,3.0,33.19,15.0,84.63,18.63
I000354,ORD-11680,P00033,3.0,73.54,15.0,187.53,41.81
I000355,ORD-10755,P00030,1.0,19.91,5.0,18.91,-1.9
I000356,ORD-11247,P00006,4.0,96.5,20.0,308.8,62.71
I000357,ORD-10225,P00002,10.0,104.58,30.0,732.06,142.02
I000358,ORD-10281,P00009,3.0,83.44,10.0,225.29,59.93
I000359,ORD-10980,P00025,10.0,64.87,5.0,616.26,277.41
I000360,ORD-11339,P00037,3.0,182.51,5.0,520.15,182.73
I000361,ORD-10459,P00013,5.0,10.99,5.0,52.2,14.81
I000362,ORD-10885,P00007,3.0,10.7,5.0,30.49,4.13
I000363,ORD-10680,P00026,5.0,7.28,5.0,34.58,-2.51
I000364,ORD-11530,P00009,2.0,44.23,10.0,79.61,12.83
I000365,ORD-11642,P00001,2.0,151.07,25.0,226.6,52.58
I000366,ORD-10228,P00036,1.0,35.7,10.0,32.13,1.46
I000367,ORD-10254,P00026,7.0,15.21,20.0,85.18,12.48
I000368,ORD-10418,P00005,1.0,206.62,10.0,185.96,50.3
I000369,ORD-10842,P00025,1.0,34.17,15.0,29.04,-0.06
I000370,ORD-11769,P00021,5.0,9.43,5.0,44.79,1.15
I000371,ORD-11929,P00004,3.0,67.35,0.0,202.05,78.48
I000372,ORD-11501,P00025,3.0,75.47,5.0,215.09,91.48
I000373,ORD-10363,P00002,3.0,91.18,10.0,246.19,87.16
I000374,ORD-10496,P00004,2.0,88.88,10.0,159.98,54.58
I000375,ORD-11960,P00037,3.0,120.89,20.0,290.14,58.42
I000376,ORD-10838,P00014,8.0,48.11,20.0,307.9,89.89
I000377,ORD-11909,P00009,5.0,79.11,10.0,356.0,102.62
I000378,ORD-10030,P00018,2.0,17.66,15.0,30.02,1.08
I000379,ORD-11169,P00003,5.0,7.76,10.0,34.92,1.67
I000380,ORD-11178,P00006,3.0,97.26,10.0,262.6,76.97
I000381,ORD-10651,P00034,1.0,18.19,0.0,18.19,-0.54
I000382,ORD-10737,P00008,8.0,75.46,15.0,513.13,164.92
I000383,ORD-10952,P00007,2.0,16.46,10.0,29.63,1.18
I000384,ORD-11481,P00033,1.0,55.59,5.0,52.81,13.35
I000385,ORD-10852,P00012,1.0,78.86,10.0,70.97,24.14
I000386,ORD-11667,P00032,1.0,89.29,5.0,84.83,26.54
I000387,ORD-10277,P00010,1.0,22.46,5.0,21.34,3.16
I000388,ORD-10356,P00024,4.0,12.89,5.0,48.98,16.21
I000389,ORD-10367,P00008,9.0,27.41,0.0,246.69,98.95
I000390,ORD-10558,P00012,6.0,78.77,0.0,472.62,216.56
I000391,ORD-11332,P00014,1.0,62.43,10.0,56.19,17.7
I000392,ORD-11526,P00014,1.0,59.71,15.0,50.75,9.46
I000393,ORD-11846,P00014,2.0,148.55,10.0,267.39,104.0
I000394,ORD-10917,P00018,2.0,12.61,25.0,18.91,-1.62
I000395,ORD-11070,P00031,1.0,8.92,0.0,8.92,-2.91
