event_id,event_date,customer_id,event_type,source
E000023B,2023-01-17,C00023,purchase,Direct
E000024A,2023-01-17,C00024,page_view,Organic Search
E000024B,2023-01-17,C00024,purchase,Organic Search
E000025A,2023-01-18,C00025,page_view,Paid Social
E000025B,2023-01-18,C00025,purchase,Paid Social
E000026A,2023-01-20,C00026,page_view,Email
E000026B,2023-01-20,C00026,purchase,Email
E000027A,2023-01-20,C00027,page_view,Direct
E000027B,2023-01-20,C00027,purchase,Direct
E000028A,2023-01-20,C00028,page_view,Organic Search
E000028B,2023-01-20,C00028,purchase,Organic Search
E000029A,2023-01-20,C00029,page_view,Paid Social
E000029B,2023-01-20,C00029,purchase,Paid Social
E000030A,2023-01-22,C00030,page_view,Email
E000030B,2023-01-22,C00030,purchase,Email
E000031A,2023-01-23,C00031,page_view,Direct
E000031B,2023-01-23,C00031,purchase,Direct
E000032A,2023-01-23,C00032,page_view,Organic Search
E000032B,2023-01-23,C00032,purchase,Organic Search
E000033A,2023-01-24,C00033,page_view,Paid Social
E000033B,2023-01-24,C00033,purchase,Paid Social
E000034A,2023-01-24,C00034,page_view,Email
E000034B,2023-01-24,C00034,purchase,Email
E000035A,2023-01-25,C00035,page_view,Direct
E000035B,2023-01-25,C00035,purchase,Direct
E000036A,2023-01-26,C00036,page_view,Organic Search
E000036B,2023-01-26,C00036,purchase,Organic Search
E000037A,2023-01-27,C00037,page_view,Paid Social
E000037B,2023-01-27,C00037,purchase,Paid Social
E000038A,2023-01-28,C00038,page_view,Email
E000038B,2023-01-28,C00038,purchase,Email
E000039A,2023-01-28,C00039,page_view,Direct
E000039B,2023-01-28,C00039,purchase,Direct
E000040A,2023-01-28,C00040,page_view,Organic Search
E000040B,2023-01-28,C00040,purchase,Organic Search
E000041A,2023-01-29,C00041,page_view,Paid Social
E000041B,2023-01-29,C00041,purchase,Paid Social
E000042A,2023-01-30,C00042,page_view,Email
E000042B,2023-01-30,C00042,purchase,Email
E000043A,2023-01-31,C00043,page_view,Direct
E000043B,2023-01-31,C00043,purchase,Direct
E000044A,2023-01-31,C00044,page_view,Organic Search
E000044B,2023-01-31,C00044,purchase,Organic Search
E000045A,2023-01-31,C00045,page_view,Paid Social
E000045B,2023-01-31,C00045,purchase,Paid Social
E000046A,2023-01-31,C00046,page_view,Email
E000046B,2023-01-31,C00046,purchase,Email
E000047A,2023-01-31,C00047,page_view,Direct
E000047B,2023-01-31,C00047,purchase,Direct
E000048A,2023-02-01,C00048,page_view,Organic Search
E000048B,2023-02-01,C00048,purchase,Organic Search
E000049A,2023-02-02,C00049,page_view,Paid Social
E000049B,2023-02-02,C00049,purchase,Paid Social
E000050A,2023-02-03,C00050,page_view,Email
E000050B,2023-02-03,C00050,purchase,Email
E000051A,2023-02-03,C00051,page_view,Direct
E000051B,2023-02-03,C00051,purchase,Direct
E000052A,2023-02-03,C00052,page_view,Organic Search
E000052B,2023-02-03,C00052,purchase,Organic Search
E000053A,2023-02-04,C00053,page_view,Paid Social
E000053B,2023-02-04,C00053,purchase,Paid Social
E000054A,2023-02-04,C00054,page_view,Email
E000054B,2023-02-04,C00054,purchase,Email
E000055A,2023-02-04,C00055,page_view,Direct
E000055B,2023-02-04,C00055,purchase,Direct
E000056A,2023-02-05,C00056,page_view,Organic Search
E000056B,2023-02-05,C00056,purchase,Organic Search
E000057A,2023-02-05,C00057,page_view,Paid Social
E000057B,2023-02-05,C00057,purchase,Paid Social
E000058A,2023-02-07,C00058,page_view,Email
E000058B,2023-02-07,C00058,purchase,Email
E000059A,2023-02-07,C00059,page_view,Direct
E000059B,2023-02-07,C00059,purchase,Direct
E000060A,2023-02-07,C00060,page_view,Organic Search
E000060B,2023-02-07,C00060,purchase,Organic Search
E000061A,2023-02-08,C00061,page_view,Paid Social
E000061B,2023-02-08,C00061,purchase,Paid Social
E000062A,2023-02-08,C00062,page_view,Email
E000062B,2023-02-08,C00062,purchase,Email
E000063A,2023-02-08,C00063,page_view,Direct
E000063B,2023-02-08,C00063,purchase,Direct
E000064A,2023-02-09,C00064,page_view,Organic Search
E000064B,2023-02-09,C00064,purchase,Organic Search
E000065A,2023-02-09,C00065,page_view,Paid Social
E000065B,2023-02-09,C00065,purchase,Paid Social
E000066A,2023-02-10,C00066,page_view,Email
E000066B,2023-02-10,C00066,purchase,Email
E000067A,2023-02-10,C00067,page_view,Direct
E000067B,2023-02-10,C00067,purchase,Direct
E000068A,2023-02-10,C00068,page_view,Organic Search
E000068B,2023-02-10,C00068,purchase,Organic Search
E000069A,2023-02-10,C00069,page_view,Paid Social
E000069B,2023-02-10,C00069,purchase,Paid Social
E000070A,2023-02-11,C00070,page_view,Email
E000070B,2023-02-11,C00070,purchase,Email
E000071A,2023-02-12,C00071,page_view,Direct
E000071B,2023-02-12,C00071,purchase,Direct
E000072A,2023-02-12,C00072,page_view,Organic Search
E000072B,2023-02-12,C00072,purchase,Organic Search
E000073A,2023-02-15,C00073,page_view,Paid Social
E000073B,2023-02-15,C00073,purchase,Paid Social
E000074A,2023-02-15,C00074,page_view,Email
E000074B,2023-02-15,C00074,purchase,Email
E000075A,2023-02-16,C00075,page_view,Direct
E000075B,2023-02-16,C00075,purchase,Direct
E000076A,2023-02-17,C00076,page_view,Organic Search
E000076B,2023-02-17,C00076,purchase,Organic Search
E000077A,2023-02-17,C00077,page_view,Paid Social
E000077B,2023-02-17,C00077,purchase,Paid Social
E000078A,2023-02-17,C00078,page_view,Email
E000078B,2023-02-17,C00078,purchase,Email
E000079A,2023-02-18,C00079,page_view,Direct
E000079B,2023-02-18,C00079,purchase,Direct
E000080A,2023-02-19,C00080,page_view,Organic Search
E000080B,2023-02-19,C00080,purchase,Organic Search
E000081A,2023-02-19,C00081,page_view,Paid Social
E000081B,2023-02-19,C00081,purchase,Paid Social
E000082A,2023-02-19,C00082,page_view,Email
E000082B,2023-02-19,C00082,purchase,Email
E000083A,2023-02-20,C00083,page_view,Direct
E000083B,2023-02-20,C00083,purchase,Direct
E000084A,2023-02-21,C00084,page_view,Organic Search
E000084B,2023-02-21,C00084,purchase,Organic Search
E000085A,2023-02-21,C00085,page_view,Paid Social
E000085B,2023-02-21,C00085,purchase,Paid Social
E000086A,2023-02-21,C00086,page_view,Email
E000086B,2023-02-21,C00086,purchase,Email
E000087A,2023-02-21,C00087,page_view,Direct
E000087B,2023-02-21,C00087,purchase,Direct
E000088A,2023-02-22,C00088,page_view,Organic Search
E000088B,2023-02-22,C00088,purchase,Organic Search
E000089A,2023-02-22,C00089,page_view,Paid Social
E000089B,2023-02-22,C00089,purchase,Paid Social
E000090A,2023-02-23,C00090,page_view,Email
E000090B,2023-02-23,C00090,purchase,Email
E000091A,2023-02-23,C00091,page_view,Direct
E000091B,2023-02-23,C00091,purchase,Direct
E000092A,2023-02-24,C00092,page_view,Organic Search
E000092B,2023-02-24,C00092,purchase,Organic Search
E000093A,2023-02-25,C00093,page_view,Paid Social
E000093B,2023-02-25,C00093,purchase,Paid Social
E000094A,2023-02-25,C00094,page_view,Email
E000094B,2023-02-25,C00094,purchase,Email
E000095A,2023-02-26,C00095,page_view,Direct
E000095B,2023-02-26,C00095,purchase,Direct
E000096A,2023-02-27,C00096,page_view,Organic Search
E000096B,2023-02-27,C00096,purchase,Organic Search
E000097A,2023-02-27,C00097,page_view,Paid Social
E000097B,2023-02-27,C00097,purchase,Paid Social
E000098A,2023-02-27,C00098,page_view,Email
E000098B,2023-02-27,C00098,purchase,Email
E000099A,2023-02-27,C00099,page_view,Direct
E000099B,2023-02-27,C00099,purchase,Direct
E000100A,2023-03-01,C00100,page_view,Organic Search
E000100B,2023-03-01,C00100,purchase,Organic Search
E000101A,2023-03-02,C00101,page_view,Paid Social
E000101B,2023-03-02,C00101,purchase,Paid Social
E000102A,2023-03-02,C00102,page_view,Email
E000102B,2023-03-02,C00102,purchase,Email
E000103A,2023-03-02,C00103,page_view,Direct
E000103B,2023-03-02,C00103,purchase,Direct
E000104A,2023-03-02,C00104,page_view,Organic Search
E000104B,2023-03-02,C00104,purchase,Organic Search
E000105A,2023-03-02,C00105,page_view,Paid Social
E000105B,2023-03-02,C00105,purchase,Paid Social
E000106A,2023-03-02,C00106,page_view,Email
E000106B,2023-03-02,C00106,purchase,Email
E000107A,2023-03-04,C00107,page_view,Direct
E000107B,2023-03-04,C00107,purchase,Direct
E000108A,2023-03-05,C00108,page_view,Organic Search
E000108B,2023-03-05,C00108,purchase,Organic Search
E000109A,2023-03-06,C00109,page_view,Paid Social
E000109B,2023-03-06,C00109,purchase,Paid Social
E000110A,2023-03-07,C00110,page_view,Email
E000110B,2023-03-07,C00110,purchase,Email
E000111A,2023-03-07,C00111,page_view,Direct
E000111B,2023-03-07,C00111,purchase,Direct
E000112A,2023-03-08,C00112,page_view,Organic Search
E000112B,2023-03-08,C00112,purchase,Organic Search
E000113A,2023-03-08,C00113,page_view,Paid Social
E000113B,2023-03-08,C00113,purchase,Paid Social
E000114A,2023-03-08,C00114,page_view,Email
E000114B,2023-03-08,C00114,purchase,Email
E000115A,2023-03-08,C00115,page_view,Direct
E000115B,2023-03-08,C00115,purchase,Direct
E000116A,2023-03-09,C00116,page_view,Organic Search
E000116B,2023-03-09,C00116,purchase,Organic Search
E000117A,2023-03-10,C00117,page_view,Paid Social
E000117B,2023-03-10,C00117,purchase,Paid Social
E000118A,2023-03-10,C00118,page_view,Email
E000118B,2023-03-10,C00118,purchase,Email
E000119A,2023-03-11,C00119,page_view,Direct
E000119B,2023-03-11,C00119,purchase,Direct
E000120A,2023-03-12,C00120,page_view,Organic Search
E000120B,2023-03-12,C00120,purchase,Organic Search
E000121A,2023-03-13,C00121,page_view,Paid Social
E000121B,2023-03-13,C00121,purchase,Paid Social
E000122A,2023-03-13,C00122,page_view,Email
E000122B,2023-03-13,C00122,purchase,Email
E000123A,2023-03-15,C00123,page_view,Direct
E000123B,2023-03-15,C00123,purchase,Direct
E000124A,2023-03-15,C00124,page_view,Organic Search
E000124B,2023-03-15,C00124,purchase,Organic Search
E000125A,2023-03-16,C00125,page_view,Paid Social
E000125B,2023-03-16,C00125,purchase,Paid Social
E000126A,2023-03-16,C00126,page_view,Email
E000126B,2023-03-16,C00126,purchase,Email
E000127A,2023-03-17,C00127,page_view,Direct
E000127B,2023-03-17,C00127,purchase,Direct
E000128A,2023-03-18,C00128,page_view,Organic Search
E000128B,2023-03-18,C00128,purchase,Organic Search
E000129A,2023-03-18,C00129,page_view,Paid Social
E000129B,2023-03-18,C00129,purchase,Paid Social
E000130A,2023-03-19,C00130,page_view,Email
E000130B,2023-03-19,C00130,purchase,Email
E000131A,2023-03-21,C00131,page_view,Direct
E000131B,2023-03-21,C00131,purchase,Direct
E000132A,2023-03-22,C00132,page_view,Organic Search
E000132B,2023-03-22,C00132,purchase,Organic Search
E000133A,2023-03-23,C00133,page_view,Paid Social
E000133B,2023-03-23,C00133,purchase,Paid Social
E000134A,2023-03-23,C00134,page_view,Email
E000134B,2023-03-23,C00134,purchase,Email
E000135A,2023-03-23,C00135,page_view,Direct
E000135B,2023-03-23,C00135,purchase,Direct
E000136A,2023-03-24,C00136,page_view,Organic Search
E000136B,2023-03-24,C00136,purchase,Organic Search
E000137A,2023-03-25,C00137,page_view,Paid Social
E000137B,2023-03-25,C00137,purchase,Paid Social
E000138A,2023-03-25,C00138,page_view,Email
E000138B,2023-03-25,C00138,purchase,Email
E000139A,2023-03-26,C00139,page_view,Direct
E000139B,2023-03-26,C00139,purchase,Direct
E000140A,2023-03-26,C00140,page_view,Organic Search
E000140B,2023-03-26,C00140,purchase,Organic Search
E000141A,2023-03-26,C00141,page_view,Paid Social
E000141B,2023-03-26,C00141,purchase,Paid Social
E000142A,2023-03-27,C00142,page_view,Email
E000142B,2023-03-27,C00142,purchase,Email
E000143A,2023-03-27,C00143,page_view,Direct
E000143B,2023-03-27,C00143,purchase,Direct
E000144A,2023-03-29,C00144,page_view,Organic Search
E000144B,2023-03-29,C00144,purchase,Organic Search
E000145A,2023-03-29,C00145,page_view,Paid Social
E000145B,2023-03-29,C00145,purchase,Paid Social
E000146A,2023-03-29,C00146,page_view,Email
E000146B,2023-03-29,C00146,purchase,Email
E000147A,2023-03-29,C00147,page_view,Direct
E000147B,2023-03-29,C00147,purchase,Direct
E000148A,2023-03-29,C00148,page_view,Organic Search
E000148B,2023-03-29,C00148,purchase,Organic Search
E000149A,2023-03-30,C00149,page_view,Paid Social
E000149B,2023-03-30,C00149,purchase,Paid Social
E000150A,2023-03-31,C00150,page_view,Email
E000150B,2023-03-31,C00150,purchase,Email
E000151A,2023-04-01,C00151,page_view,Direct
E000151B,2023-04-01,C00151,purchase,Direct
E000152A,2023-04-01,C00152,page_view,Organic Search
E000152B,2023-04-01,C00152,purchase,Organic Search
E000153A,2023-04-02,C00153,page_view,Paid Social
E000153B,2023-04-02,C00153,purchase,Paid Social
E000154A,2023-04-02,C00154,page_view,Email
E000154B,2023-04-02,C00154,purchase,Email
E000155A,2023-04-02,C00155,page_view,Direct
E000155B,2023-04-02,C00155,purchase,Direct
E000156A,2023-04-02,C00156,page_view,Organic Search
E000156B,2023-04-02,C00156,purchase,Organic Search
E000157A,2023-04-03,C00157,page_view,Paid Social
E000157B,2023-04-03,C00157,purchase,Paid Social
E000158A,2023-04-04,C00158,page_view,Email
E000158B,2023-04-04,C00158,purchase,Email
E000159A,2023-04-04,C00159,page_view,Direct
E000159B,2023-04-04,C00159,purchase,Direct
E000160A,2023-04-04,C00160,page_view,Organic Search
E000160B,2023-04-04,C00160,purchase,Organic Search
E000161A,2023-04-04,C00161,page_view,Paid Social
E000161B,2023-04-04,C00161,purchase,Paid Social
E000162A,2023-04-04,C00162,page_view,Email
E000162B,2023-04-04,C00162,purchase,Email
E000163A,2023-04-05,C00163,page_view,Direct
E000163B,2023-04-05,C00163,purchase,Direct
E000164A,2023-04-05,C00164,page_view,Organic Search
E000164B,2023-04-05,C00164,purchase,Organic Search
E000165A,2023-04-05,C00165,page_view,Paid Social
E000165B,2023-04-05,C00165,purchase,Paid Social
E000166A,2023-04-06,C00166,page_view,Email
E000166B,2023-04-06,C00166,purchase,Email
E000167A,2023-04-07,C00167,page_view,Direct
E000167B,2023-04-07,C00167,purchase,Direct
E000168A,2023-04-07,C00168,page_view,Organic Search
E000168B,2023-04-07,C00168,purchase,Organic Search
E000169A,2023-04-09,C00169,page_view,Paid Social
E000169B,2023-04-09,C00169,purchase,Paid Social
E000170A,2023-04-09,C00170,page_view,Email
E000170B,2023-04-09,C00170,purchase,Email
E000171A,2023-04-09,C00171,page_view,Direct
E000171B,2023-04-09,C00171,purchase,Direct
E000172A,2023-04-10,C00172,page_view,Organic Search
E000172B,2023-04-10,C00172,purchase,Organic Search
E000173A,2023-04-10,C00173,page_view,Paid Social
E000173B,2023-04-10,C00173,purchase,Paid Social
E000174A,2023-04-13,C00174,page_view,Email
E000174B,2023-04-13,C00174,purchase,Email
E000175A,2023-04-13,C00175,page_view,Direct
E000175B,2023-04-13,C00175,purchase,Direct
E000176A,2023-04-14,C00176,page_view,Organic Search
E000176B,2023-04-14,C00176,purchase,Organic Search
E000177A,2023-04-15,C00177,page_view,Paid Social
E000177B,2023-04-15,C00177,purchase,Paid Social
E000178A,2023-04-16,C00178,page_view,Email
E000178B,2023-04-16,C00178,purchase,Email
E000179A,2023-04-16,C00179,page_view,Direct
E000179B,2023-04-16,C00179,purchase,Direct
E000180A,2023-04-16,C00180,page_view,Organic Search
E000180B,2023-04-16,C00180,purchase,Organic Search
E000181A,2023-04-17,C00181,page_view,Paid Social
E000181B,2023-04-17,C00181,purchase,Paid Social
E000182A,2023-04-18,C00182,page_view,Email
E000182B,2023-04-18,C00182,purchase,Email
E000183A,2023-04-19,C00183,page_view,Direct
E000183B,2023-04-19,C00183,purchase,Direct
E000184A,2023-04-19,C00184,page_view,Organic Search
E000184B,2023-04-19,C00184,purchase,Organic Search
E000185A,2023-04-20,C00185,page_view,Paid Social
E000185B,2023-04-20,C00185,purchase,Paid Social
E000186A,2023-04-21,C00186,page_view,Email
E000186B,2023-04-21,C00186,purchase,Email
E000187A,2023-04-21,C00187,page_view,Direct
E000187B,2023-04-21,C00187,purchase,Direct
E000188A,2023-04-21,C00188,page_view,Organic Search
E000188B,2023-04-21,C00188,purchase,Organic Search
E000189A,2023-04-22,C00189,page_view,Paid Social
E000189B,2023-04-22,C00189,purchase,Paid Social
E000190A,2023-04-23,C00190,page_view,Email
E000190B,2023-04-23,C00190,purchase,Email
E000191A,2023-04-24,C00191,page_view,Direct
E000191B,2023-04-24,C00191,purchase,Direct
E000192A,2023-04-25,C00192,page_view,Organic Search
E000192B,2023-04-25,C00192,purchase,Organic Search
E000193A,2023-04-25,C00193,page_view,Paid Social
E000193B,2023-04-25,C00193,purchase,Paid Social
E000194A,2023-04-25,C00194,page_view,Email
E000194B,2023-04-25,C00194,purchase,Email
E000195A,2023-04-26,C00195,page_view,Direct
E000195B,2023-04-26,C00195,purchase,Direct
E000196A,2023-04-26,C00196,page_view,Organic Search
E000196B,2023-04-26,C00196,purchase,Organic Search
E000197A,2023-04-29,C00197,page_view,Paid Social
E000197B,2023-04-29,C00197,purchase,Paid Social
E000198A,2023-04-30,C00198,page_view,Email
E000198B,2023-04-30,C00198,purchase,Email
E000199A,2023-05-01,C00199,page_view,Direct
E000199B,2023-05-01,C00199,purchase,Direct
E000200A,2023-05-02,C00200,page_view,Organic Search
E000200B,2023-05-02,C00200,purchase,Organic Search
E000201A,2023-05-03,C00201,page_view,Paid Social
E000201B,2023-05-03,C00201,purchase,Paid Social
E000202A,2023-05-04,C00202,page_view,Email
E000202B,2023-05-04,C00202,purchase,Email
E000203A,2023-05-05,C00203,page_view,Direct
E000203B,2023-05-05,C00203,purchase,Direct
E000204A,2023-05-05,C00204,page_view,Organic Search
E000204B,2023-05-05,C00204,purchase,Organic Search
E000205A,2023-05-06,C00205,page_view,Paid Social
E000205B,2023-05-06,C00205,purchase,Paid Social
E000206A,2023-05-06,C00206,page_view,Email
E000206B,2023-05-06,C00206,purchase,Email
E000207A,2023-05-06,C00207,page_view,Direct
E000207B,2023-05-06,C00207,purchase,Direct
E000208A,2023-05-08,C00208,page_view,Organic Search
E000208B,2023-05-08,C00208,purchase,Organic Search
E000209A,2023-05-10,C00209,page_view,Paid Social
E000209B,2023-05-10,C00209,purchase,Paid Social
E000210A,2023-05-11,C00210,page_view,Email
E000210B,2023-05-11,C00210,purchase,Email
E000211A,2023-05-11,C00211,page_view,Direct
E000211B,2023-05-11,C00211,purchase,Direct
E000212A,2023-05-12,C00212,page_view,Organic Search
E000212B,2023-05-12,C00212,purchase,Organic Search
E000213A,2023-05-12,C00213,page_view,Paid Social
E000213B,2023-05-12,C00213,purchase,Paid Social
E000214A,2023-05-13,C00214,page_view,Email
E000214B,2023-05-13,C00214,purchase,Email
E000215A,2023-05-13,C00215,page_view,Direct
E000215B,2023-05-13,C00215,purchase,Direct
E000216A,2023-05-14,C00216,page_view,Organic Search
E000216B,2023-05-14,C00216,purchase,Organic Search
E000217A,2023-05-15,C00217,page_view,Paid Social
E000217B,2023-05-15,C00217,purchase,Paid Social
E000218A,2023-05-15,C00218,page_view,Email
E000218B,2023-05-15,C00218,purchase,Email
E000219A,2023-05-15,C00219,page_view,Direct
E000219B,2023-05-15,C00219,purchase,Direct
E000220A,2023-05-16,C00220,page_view,Organic Search
E000220B,2023-05-16,C00220,purchase,Organic Search
E000221A,2023-05-16,C00221,page_view,Paid Social
E000221B,2023-05-16,C00221,purchase,Paid Social
E000222A,2023-05-16,C00222,page_view,Email
E000222B,2023-05-16,C00222,purchase,Email
E000223A,2023-05-17,C00223,page_view,Direct
E000223B,2023-05-17,C00223,purchase,Direct
E000224A,2023-05-18,C00224,page_view,Organic Search
E000224B,2023-05-18,C00224,purchase,Organic Search
E000225A,2023-05-18,C00225,page_view,Paid Social
E000225B,2023-05-18,C00225,purchase,Paid Social
E000226A,2023-05-18,C00226,page_view,Email
E000226B,2023-05-18,C00226,purchase,Email
E000227A,2023-05-18,C00227,page_view,Direct
E000227B,2023-05-18,C00227,purchase,Direct
E000228A,2023-05-18,C00228,page_view,Organic Search
E000228B,2023-05-18,C00228,purchase,Organic Search
E000229A,2023-05-18,C00229,page_view,Paid Social
E000229B,2023-05-18,C00229,purchase,Paid Social
E000230A,2023-05-19,C00230,page_view,Email
E000230B,2023-05-19,C00230,purchase,Email
E000231A,2023-05-20,C00231,page_view,Direct
E000231B,2023-05-20,C00231,purchase,Direct
E000232A,2023-05-22,C00232,page_view,Organic Search
E000232B,2023-05-22,C00232,purchase,Organic Search
E000233A,2023-05-23,C00233,page_view,Paid Social
E000233B,2023-05-23,C00233,purchase,Paid Social
E000234A,2023-05-23,C00234,page_view,Email
E000234B,2023-05-23,C00234,purchase,Email
E000235A,2023-05-25,C00235,page_view,Direct
E000235B,2023-05-25,C00235,purchase,Direct
E000236A,2023-05-26,C00236,page_view,Organic Search
E000236B,2023-05-26,C00236,purchase,Organic Search
E000237A,2023-05-29,C00237,page_view,Paid Social
E000237B,2023-05-29,C00237,purchase,Paid Social
E000238A,2023-05-30,C00238,page_view,Email
E000238B,2023-05-30,C00238,purchase,Email
E000239A,2023-06-01,C00239,page_view,Direct
E000239B,2023-06-01,C00239,purchase,Direct
E000240A,2023-06-01,C00240,page_view,Organic Search
E000240B,2023-06-01,C00240,purchase,Organic Search
E000241A,2023-06-01,C00241,page_view,Paid Social
E000241B,2023-06-01,C00241,purchase,Paid Social
E000242A,2023-06-01,C00242,page_view,Email
E000242B,2023-06-01,C00242,purchase,Email
E000243A,2023-06-01,C00243,page_view,Direct
E000243B,2023-06-01,C00243,purchase,Direct
E000244A,2023-06-03,C00244,page_view,Organic Search
E000244B,2023-06-03,C00244,purchase,Organic Search
E000245A,2023-06-04,C00245,page_view,Paid Social
E000245B,2023-06-04,C00245,purchase,Paid Social
E000246A,2023-06-04,C00246,page_view,Email
E000246B,2023-06-04,C00246,purchase,Email
E000247A,2023-06-04,C00247,page_view,Direct
E000247B,2023-06-04,C00247,purchase,Direct
E000248A,2023-06-05,C00248,page_view,Organic Search
E000248B,2023-06-05,C00248,purchase,Organic Search
E000249A,2023-06-06,C00249,page_view,Paid Social
E000249B,2023-06-06,C00249,purchase,Paid Social
E000250A,2023-06-06,C00250,page_view,Email
E000250B,2023-06-06,C00250,purchase,Email
E000251A,2023-06-06,C00251,page_view,Direct
E000251B,2023-06-06,C00251,purchase,Direct
E000252A,2023-06-06,C00252,page_view,Organic Search
E000252B,2023-06-06,C00252,purchase,Organic Search
E000253A,2023-06-06,C00253,page_view,Paid Social
E000253B,2023-06-06,C00253,purchase,Paid Social
E000254A,2023-06-07,C00254,page_view,Email
E000254B,2023-06-07,C00254,purchase,Email
E000255A,2023-06-07,C00255,page_view,Direct
E000255B,2023-06-07,C00255,purchase,Direct
E000256A,2023-06-07,C00256,page_view,Organic Search
E000256B,2023-06-07,C00256,purchase,Organic Search
E000257A,2023-06-08,C00257,page_view,Paid Social
E000257B,2023-06-08,C00257,purchase,Paid Social
E000258A,2023-06-08,C00258,page_view,Email
E000258B,2023-06-08,C00258,purchase,Email
E000259A,2023-06-08,C00259,page_view,Direct
E000259B,2023-06-08,C00259,purchase,Direct
E000260A,2023-06-09,C00260,page_view,Organic Search
E000260B,2023-06-09,C00260,purchase,Organic Search
E000261A,2023-06-09,C00261,page_view,Paid Social
E000261B,2023-06-09,C00261,purchase,Paid Social
E000262A,2023-06-09,C00262,page_view,Email
E000262B,2023-06-09,C00262,purchase,Email
E000263A,2023-06-10,C00263,page_view,Direct
E000263B,2023-06-10,C00263,purchase,Direct
E000264A,2023-06-11,C00264,page_view,Organic Search
E000264B,2023-06-11,C00264,purchase,Organic Search
E000265A,2023-06-11,C00265,page_view,Paid Social
E000265B,2023-06-11,C00265,purchase,Paid Social
E000266A,2023-06-11,C00266,page_view,Email
E000266B,2023-06-11,C00266,purchase,Email
E000267A,2023-06-11,C00267,page_view,Direct
E000267B,2023-06-11,C00267,purchase,Direct
E000268A,2023-06-11,C00268,page_view,Organic Search
E000268B,2023-06-11,C00268,purchase,Organic Search
E000269A,2023-06-12,C00269,page_view,Paid Social
E000269B,2023-06-12,C00269,purchase,Paid Social
E000270A,2023-06-12,C00270,page_view,Email
E000270B,2023-06-12,C00270,purchase,Email
E000271A,2023-06-12,C00271,page_view,Direct
E000271B,2023-06-12,C00271,purchase,Direct
E000272A,2023-06-13,C00272,page_view,Organic Search
E000272B,2023-06-13,C00272,purchase,Organic Search
E000273A,2023-06-13,C00273,page_view,Paid Social
E000273B,2023-06-13,C00273,purchase,Paid Social
E000274A,2023-06-14,C00274,page_view,Email
E000274B,2023-06-14,C00274,purchase,Email
E000275A,2023-06-14,C00275,page_view,Direct
E000275B,2023-06-14,C00275,purchase,Direct
E000276A,2023-06-17,C00276,page_view,Organic Search
E000276B,2023-06-17,C00276,purchase,Organic Search
E000277A,2023-06-17,C00277,page_view,Paid Social
E000277B,2023-06-17,C00277,purchase,Paid Social
E000278A,2023-06-18,C00278,page_view,Email
E000278B,2023-06-18,C00278,purchase,Email
E000279A,2023-06-19,C00279,page_view,Direct
E000279B,2023-06-19,C00279,purchase,Direct
E000280A,2023-06-19,C00280,page_view,Organic Search
E000280B,2023-06-19,C00280,purchase,Organic Search
E000281A,2023-06-19,C00281,page_view,Paid Social
E000281B,2023-06-19,C00281,purchase,Paid Social
E000282A,2023-06-20,C00282,page_view,Email
E000282B,2023-06-20,C00282,purchase,Email
